char,name_strokes,wuxing,pinyin,source
宛,8,土,wan,manual
彤,7,火,tong,manual
丽,19,火,li,meimingteng-sample
英,11,木,ying,meimingteng-sample
明,8,火,ming,manual
欣,8,木,xin,manual
宜,8,木,yi,manual
雨,8,水,yu,manual
佳,8,木,jia,manual
依,8,土,yi,manual
言,7,木,yan,manual
希,7,水,xi,manual
辰,7,土,chen,manual
含,7,水,han,manual
妤,7,水,yu,manual
茗,12,木,:,meimingteng
鑫,12,木,:,meimingteng
茵,12,木,:,meimingteng
灝,12,木,:,meimingteng
荣,14,木,:,meimingteng
靄,14,木,:,meimingteng
茹,14,木,:,meimingteng
鷺,14,木,:,meimingteng
荃,12,木,:,meimingteng
艷,12,木,:,meimingteng
荟,12,木,:,meimingteng
衢,12,木,:,meimingteng
茜,12,木,:,meimingteng
黌,12,木,:,meimingteng
荞,12,木,:,meimingteng
虂,12,木,:,meimingteng
荧,14,木,:,meimingteng
虉,14,木,:,meimingteng
荀,14,木,:,meimingteng
欖,14,木,:,meimingteng
鑭,25,金,:,meimingteng
靉,25,金,:,meimingteng
鸎,25,金,:,meimingteng
彠,25,金,:,meimingteng
鑵,26,金,:,meimingteng
壪,26,金,:,meimingteng
觿,26,金,:,meimingteng
鸋,26,金,:,meimingteng
荔,12,木,:,meimingteng
驥,12,木,:,meimingteng
讚,12,木,:,meimingteng
飌,12,木,:,meimingteng
靊,26,水,:,meimingteng
驠,26,水,:,meimingteng
籯,26,水,:,meimingteng
灎,26,水,:,meimingteng
虊,29,木,:,meimingteng
龤,29,木,:,meimingteng
